Area Type,Availability,Location,Size,Society,Total Sqft,Balcony,Price,Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
Super built-up  Area,18-Feb,EPIP Zone,2 BHK,BrontLa,1330,1.0,93.36,5/17/22,2.0,10000.0,1000.0,2 out of 2,Super Area,Mathikere,Bangalore,Semi-Furnished,Bachelors,2.0,Contact Owner
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,MBodsen,1062,1.0,42.47,5/28/22,2.0,12500.0,500.0,1 out of 2,Carpet Area,"Ombr Layout, Banaswadi",Bangalore,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Built-up  Area,Ready To Move,JP Nagar,2 BHK,DSillto,1078,2.0,45.0,5/14/22,3.0,32000.0,1800.0,1 out of 4,Super Area,"Sinthan Nagar, Thanisandra",Bangalore,Semi-Furnished,Bachelors/Family,3.0,Contact Owner
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1460,2.0,72.0,5/14/22,1.0,8000.0,416.0,19 out of 20,Super Area,Kengeri Hobli,Bangalore,Unfurnished,Bachelors/Family,1.0,Contact Owner
Plot  Area,18-Dec,Whitefield,3 Bedroom,,1200,2.0,68.5,5/25/22,2.0,10500.0,600.0,3 out of 5,Super Area,Kodichikkanahalli Main Road,Bangalore,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Laggere,1 BHK,,1200,1.0,48.0,5/23/22,1.0,6000.0,400.0,1 out of 3,Super Area,"Mangammanapalya, Hosur Road",Bangalore,Unfurnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,,912,1.0,39.0,6/6/22,3.0,16000.0,1200.0,2 out of 3,Super Area,Uttarahalli,Bangalore,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,19-Mar,Hosa Road,3 BHK,Sosisic,142.61Sq. Meter,1.0,115.0,6/27/22,3.0,45000.0,1600.0,1 out of 4,Carpet Area,Malleshwaram,Bangalore,Semi-Furnished,Bachelors/Family,3.0,Contact Agent
Plot  Area,Ready To Move,Victoria Layout,5 Bedroom,,2400,1.0,625.0,6/16/22,1.0,6000.0,500.0,Ground out of 2,Super Area,"Immadihalli, Whitefield",Bangalore,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Plot  Area,Ready To Move,Prithvi Layout,4 Bedroom,Prigh L,2028,3.0,162.0,5/23/22,1.0,5000.0,500.0,1 out of 4,Super Area,"Bydara Halli, Benson Town",Bangalore,Semi-Furnished,Family,1.0,Contact Owner
Super built-up  Area,19-Apr,Mysore Road,2 BHK,Brama P,980,1.0,45.47,5/1/22,3.0,14000.0,1800.0,5 out of 7,Super Area,Yelahanka,Bangalore,Semi-Furnished,Bachelors/Family,3.0,Contact Owner
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Usquaya,1000,2.0,40.0,6/4/22,2.0,20000.0,900.0,Ground out of 12,Carpet Area,Electronic City,Bangalore,Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Ahriaup,1050,1.0,62.0,6/16/22,1.0,11000.0,550.0,3 out of 4,Carpet Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,1.0,Contact Agent
Built-up  Area,18-Dec,Bannerghatta,3 Bedroom,,2611,1.0,239.0,5/27/22,1.0,5500.0,600.0,1 out of 2,Super Area,"Chikkana Layout, Kammanahalli",Bangalore,Unfurnished,Bachelors,1.0,Contact Owner
Super built-up  Area,Ready To Move,Domlur,3 BHK,Saiewas,1875,2.0,150.0,5/27/22,3.0,55000.0,1800.0,1 out of 4,Carpet Area,"Langford Town, Shanti Nagar, Hosur Road",Bangalore,Unfurnished,Bachelors,3.0,Contact Agent
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,,1065,1.0,42.6,5/23/22,2.0,15000.0,976.0,1 out of 3,Super Area,"Jaya Nagar Block 5, Jayanagar",Bangalore,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Built-up  Area,Ready To Move,Sanjay nagar,3 BHK,,1800,2.0,180.0,5/31/22,1.0,8500.0,350.0,2 out of 3,Super Area,Bommanahalli,Bangalore,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Sector 7 HSR Layout,2 BHK,,1163,2.0,98.86,7/2/22,2.0,15000.0,1100.0,Ground out of 2,Carpet Area,Vidyaranyapura,Bangalore,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Tumkur Road,2 BHK,,1098,1.0,72.0,5/23/22,2.0,12000.0,500.0,2 out of 3,Super Area,"Guddadahalli, Mysore Road",Bangalore,Unfurnished,Bachelors/Family,1.0,Contact Owner
Built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,Shlashi,1725,2.0,100.0,5/22/22,1.0,7500.0,600.0,3 out of 3,Carpet Area,"Electronics City Phase 1, Electronic City",Bangalore,Semi-Furnished,Bachelors,1.0,Contact Owner
Plot  Area,Ready To Move,Whitefield,4 Bedroom,,4000,2.0,330.0,6/16/22,2.0,16000.0,1100.0,2 out of 4,Super Area,Bannerghatta Main Road,Bangalore,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Thubarahalli,2 BHK,Adity S,1128,2.0,75.0,6/16/22,2.0,20000.0,1150.0,2 out of 4,Carpet Area,"Hennur, Hennur Bagalur Road",Bangalore,Furnished,Family,2.0,Contact Agent
Plot  Area,Ready To Move,Subramanyanagar,8 Bedroom,,1320,2.0,200.0,6/16/22,2.0,14500.0,850.0,Ground out of 3,Super Area,Basava Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2.0,Contact Agent
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Prensya,1705,1.0,74.16,5/24/22,1.0,6000.0,600.0,2 out of 2,Super Area,Meenakshi Layout Hosa Road,Bangalore,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,,1418,2.0,95.0,6/2/22,2.0,14000.0,900.0,4 out of 5,Carpet Area,"Kaggadasapura, Indira nagar",Bangalore,Semi-Furnished,Bachelors,2.0,Contact Agent
Built-up  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,,1500,1.0,160.0,6/20/22,1.0,7000.0,300.0,Ground out of 4,Super Area,"Kattigenahalli, Bellary Road",Bangalore,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Built-up  Area,Ready To Move,Hebbal,2 BHK,AkncyRe,1100,2.0,50.0,6/22/22,2.0,27500.0,1130.0,2 out of 4,Super Area,Old Airport Road,Bangalore,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,,1464,2.0,56.0,6/4/22,2.0,18000.0,1200.0,Ground out of 3,Super Area,Vijayanagar,Bangalore,Unfurnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,18-May,Hebbal,2 BHK,Arcia S,812,2.0,55.0,6/23/22,2.0,10000.0,1000.0,1 out of 3,Super Area,Varthur,Bangalore,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,19-Dec,Binny Pete,4 BHK,Shestlo,2695 - 2940,,204.0,5/5/22,3.0,31000.0,1700.0,6 out of 9,Super Area,"Electronics City Phase 1, Electronic City",Bangalore,Furnished,Family,3.0,Contact Owner
Super built-up  Area,Ready To Move,Doddanekundi,2 BHK,,1280,2.0,40.0,6/17/22,2.0,15000.0,1100.0,2 out of 4,Carpet Area,Horamavu,Bangalore,Semi-Furnished,Bachelors/Family,2.0,Contact Agent
Super built-up  Area,Ready To Move,Whitefield,2 BHK,BruntPa,1420,2.0,136.0,5/23/22,1.0,11000.0,300.0,Ground out of 4,Super Area,Btm Layout,Bangalore,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Plot  Area,Ready To Move,1 Ramamurthy Nagar,11 Bedroom,,1200,0.0,170.0,6/4/22,1.0,4500.0,600.0,Ground out of 3,Super Area,"Peenya Industrial Area, Tumkur Road",Bangalore,Unfurnished,Bachelors/Family,1.0,Contact Owner
Plot  Area,Ready To Move,Kadugondanahalli,6 Bedroom,,727,2.0,66.0,6/20/22,1.0,10000.0,1000.0,Ground out of 2,Super Area,K R Puram,Bangalore,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Plot  Area,Ready To Move,Banashankari Stage II,4 Bedroom,,1200,1.0,150.0,6/20/22,2.0,10000.0,1200.0,1 out of 2,Super Area,Ramamurthy Nagar,Bangalore,Unfurnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2774,,207.0,5/27/22,1.0,9000.0,500.0,Ground out of 3,Super Area,Nandini Layout,Bangalore,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,5th Stage BEML Layout,3 BHK,,2000,2.0,85.0,5/10/22,2.0,16000.0,1050.0,1 out of 3,Super Area,Basaveshwar Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,HBR Layout,3 BHK,Gats He,1722,,95.0,6/4/22,1.0,5000.0,350.0,2 out of 2,Carpet Area,"Chamundi Nagar, Rajajinagar",Bangalore,Unfurnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Indira Nagar,3 BHK,ToSky F,2800,1.0,330.0,6/30/22,2.0,10000.0,1000.0,1 out of 3,Super Area,"Ilyas Nagar, Kumaraswamy Layout",Bangalore,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Plot  Area,Immediate Possession,IVC Road,,Orana N,2000 - 5634,,124.0,7/4/22,1.0,15000.0,600.0,3 out of 5,Carpet Area,Mahadevapura,Bangalore,Semi-Furnished,Bachelors/Family,1.0,Contact Agent
Carpet  Area,Ready To Move,Jaya Mahal layout,3 BHK,Fanorrt,1650,3.0,175.0,5/19/22,1.0,3500.0,150.0,2 out of 3,Super Area,Yeshwantpur,Bangalore,Unfurnished,Bachelors/Family,1.0,Contact Owner
Built-up  Area,Ready To Move,BSM Extension,2 BHK,Raave E,840,2.0,27.0,5/19/22,2.0,16000.0,1400.0,1 out of 2,Super Area,Hebbal,Bangalore,Furnished,Bachelors/Family,2.0,Contact Owner
Built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,914,2.0,47.0,5/19/22,2.0,17000.0,1387.0,Ground out of 4,Super Area,"Nobo Nagar, Kalena Agrahara",Bangalore,Semi-Furnished,Bachelors/Family,3.0,Contact Owner
Super built-up  Area,19-Mar,Hennur Road,3 BHK,Puachal,1482,2.0,83.73,5/19/22,3.0,30000.0,1350.0,Ground out of 5,Super Area,K R Puram,Bangalore,Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,17-Dec,Kundalahalli,3 BHK,Dieldli,1724,2.0,127.0,6/3/22,2.0,12000.0,1020.0,1 out of 4,Carpet Area,Electronic City,Bangalore,Unfurnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Vijinapura,3 BHK,Vadidpl,1670,3.0,91.86,5/30/22,1.0,9000.0,600.0,2 out of 4,Carpet Area,Byrathi,Bangalore,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,,1184,3.0,53.0,6/4/22,1.0,6000.0,400.0,3 out of 4,Super Area,Doddanagamangala,Bangalore,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Kodigehaali,2 BHK,,1200,1.0,55.0,7/6/22,1.0,20000.0,550.0,2 out of 5,Carpet Area,Mahadevapura,Bangalore,Semi-Furnished,Bachelors,1.0,Contact Agent
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,,1200,0.0,65.0,5/12/22,3.0,30000.0,1400.0,2 out of 4,Carpet Area,"Btm Layout Stage 2, BTM Layout",Bangalore,Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsen,927,2.0,55.0,6/30/22,2.0,20000.0,1050.0,5 out of 5,Carpet Area,"Hoodi Circle, Hoodi",Bangalore,Semi-Furnished,Bachelors/Family,2.0,Contact Agent
Super built-up  Area,Ready To Move,P&T Layout,2 BHK,,1242,3.0,39.7,7/4/22,2.0,15000.0,800.0,1 out of 5,Super Area,whitefield,Bangalore,Unfurnished,Bachelors/Family,2.0,Contact Owner
Built-up  Area,18-Aug,Electronic City Phase II,3 BHK,Sryalan,1220,1.0,35.23,6/4/22,2.0,20000.0,1100.0,1 out of 3,Super Area,Kodi Halli,Bangalore,Unfurnished,Bachelors/Family,2.0,Contact Owner
Built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1360,1.0,75.0,6/4/22,3.0,25000.0,1500.0,Ground out of 3,Super Area,Kammanahalli,Bangalore,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Plot  Area,Ready To Move,Brookefield,4 Bedroom,,2800,2.0,240.0,6/19/22,1.0,9000.0,800.0,2 out of 3,Carpet Area,Yelechenahalli,Bangalore,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Hiestre,1180,2.0,72.0,7/8/22,2.0,17000.0,800.0,Ground out of 4,Carpet Area,J P Nagar,Bangalore,Semi-Furnished,Bachelors,1.0,Contact Owner
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Prtates,1697,2.0,108.0,7/4/22,2.0,16500.0,1200.0,2 out of 3,Super Area,Padmanabha Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Yelahanka New Town,2 BHK,,550,1.0,26.0,6/4/22,1.0,7000.0,450.0,2 out of 4,Super Area,"Kattigenahalli, Bellary Road",Bangalore,Unfurnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1225,1.0,57.0,5/14/22,3.0,30000.0,1425.0,Ground out of 5,Super Area,"Electronic City Phase 2, Electronic City",Bangalore,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Byrasandra,3 BHK,ViisePa,1690,2.0,55.0,5/5/22,2.0,8500.0,720.0,1 out of 4,Super Area,K R Puram,Bangalore,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Plot  Area,18-Apr,SBM Colony,10 Bedroom,,1660,,475.0,5/5/22,1.0,8000.0,700.0,2 out of 3,Carpet Area,Kadugodi,Bangalore,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Veerannapalya,3 BHK,,1488,,57.0,5/11/22,2.0,20000.0,1100.0,2 out of 3,Super Area,Jayanagar,Bangalore,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Built-up  Area,Ready To Move,Chowdeshwari Layout,3 BHK,Keharya,1250,1.0,80.0,5/23/22,3.0,30000.0,1645.0,6 out of 12,Carpet Area,"Electronic City Phase 2, Electronic City",Bangalore,Semi-Furnished,Bachelors/Family,3.0,Contact Agent
Super built-up  Area,Ready To Move,JP Nagar,1 BHK,Duoveoo,1050,1.0,44.0,5/24/22,3.0,120000.0,3276.0,3 out of 4,Super Area,"Cleveland Town, Frazer Town",Bangalore,Semi-Furnished,Bachelors/Family,3.0,Contact Agent
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,,1027,2.0,44.0,6/4/22,1.0,7000.0,500.0,2 out of 3,Super Area,Kengeri Satellite Town,Bangalore,Unfurnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,21-May,Kanakpura Road,3 BHK,GolusLi,1699,3.0,81.94,6/12/22,2.0,10000.0,600.0,4 out of 5,Super Area,Akshayanagar,Bangalore,Furnished,Bachelors/Family,2.0,Contact Owner
Built-up  Area,Ready To Move,Whitefield,2 BHK,Viaree ,1205,2.0,58.0,5/10/22,1.0,5000.0,600.0,1 out of 3,Super Area,HMT Layout Nagasandra,Bangalore,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Plot  Area,Ready To Move,Mathikere Extension,4 Bedroom,,712,1.0,67.5,6/20/22,3.0,30000.0,1893.0,Ground out of 18,Super Area,Begur Road,Bangalore,Semi-Furnished,Bachelors,4.0,Contact Agent
Super built-up  Area,18-Feb,Horamavu Agara,2 BHK,,950,3.0,39.0,6/20/22,1.0,6500.0,450.0,1 out of 4,Super Area,Nimbekaipura,Bangalore,Unfurnished,Bachelors,1.0,Contact Owner
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,,1200,0.0,70.0,6/20/22,1.0,10000.0,650.0,4 out of 4,Carpet Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,Semi-Furnished,Bachelors,1.0,Contact Agent
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,Hiows C,1476,1.0,120.0,6/20/22,1.0,18000.0,400.0,Ground out of 3,Carpet Area,indiranagar near bda complex,Bangalore,Unfurnished,Bachelors,1.0,Contact Agent
Built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,,1070,1.0,55.0,7/6/22,2.0,30000.0,1296.0,9 out of 22,Carpet Area,Kanakapura Road,Bangalore,Semi-Furnished,Bachelors/Family,2.0,Contact Agent
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,BrontLa,2160,2.0,172.0,6/30/22,2.0,20000.0,1000.0,4 out of 5,Carpet Area,"Kaggadasapura, Indira nagar",Bangalore,Semi-Furnished,Bachelors,2.0,Contact Agent
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,2 BHK,Putus L,1296,1.0,75.0,7/9/22,1.0,16500.0,600.0,4 out of 5,Carpet Area,"Kr Garden-Murugeshpalya, Murugeshpalya, Airport Road",Bangalore,Unfurnished,Bachelors,1.0,Contact Agent
Built-up  Area,Ready To Move,Chikkalasandra,2 Bedroom,,1800,1.0,128.0,6/6/22,1.0,15000.0,600.0,3 out of 3,Super Area,J P Nagar,Bangalore,Furnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1570,3.0,64.5,7/2/22,4.0,130000.0,4800.0,11 out of 19,Carpet Area,whitefield,Bangalore,Semi-Furnished,Bachelors/Family,4.0,Contact Agent
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Saace P,1300,3.0,110.0,5/24/22,2.0,15000.0,1000.0,Ground out of 2,Super Area,"Srinagar, Banashankari",Bangalore,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Built-up  Area,Ready To Move,Sarjapur,4 BHK,,1550,2.0,65.0,6/12/22,1.0,70000.0,800.0,1 out of 3,Carpet Area,Nagarabhavi BDA complex,Bangalore,Unfurnished,Bachelors,1.0,Contact Owner
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770,1.0,40.0,6/4/22,1.0,22000.0,455.0,2 out of 5,Carpet Area,"Murugeshpalya, Airport Road",Bangalore,Semi-Furnished,Bachelors/Family,1.0,Contact Agent
Built-up  Area,Ready To Move,Jalahalli,3 BHK,Kuownri,1870,,110.0,6/22/22,2.0,9750.0,575.0,Ground out of 2,Carpet Area,Varanasi,Bangalore,Semi-Furnished,Bachelors,2.0,Contact Owner
Plot  Area,Ready To Move,Anantapura,3 Bedroom,Edleyil,1650,,160.0,4/29/22,2.0,23000.0,1066.0,3 out of 4,Super Area,Manayata Tech Park,Bangalore,Unfurnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Domlur,3 BHK,Valipf ,1429,3.0,86.0,5/10/22,2.0,12000.0,850.0,3 out of 4,Super Area,Munnekollal,Bangalore,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,17-Nov,Babusapalaya,3 BHK,,1167,2.0,39.98,7/6/22,3.0,60000.0,1550.0,2 out of 5,Carpet Area,"Bhel Township- Malleshwaram, Malleshwaram",Bangalore,Semi-Furnished,Bachelors/Family,3.0,Contact Agent
Super built-up  Area,18-May,Bommasandra,2 BHK,SSestth,1035,1.0,41.73,5/5/22,2.0,11000.0,1000.0,2 out of 4,Super Area,K R Puram,Bangalore,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Kengeri,3 BHK,,1188,2.0,38.0,5/5/22,2.0,12000.0,800.0,1 out of 3,Super Area,"Srinagar, Banashankari",Bangalore,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5 Bedroom,,1200,2.0,285.0,6/23/22,1.0,11000.0,450.0,1 out of 4,Carpet Area,"Murugeshpalya, Airport Road",Bangalore,Semi-Furnished,Bachelors/Family,1.0,Contact Agent
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Inensba,1574Sq. Yards,1.0,76.0,6/1/22,2.0,19000.0,1350.0,1 out of 2,Carpet Area,"Coffee Board Layout, Nagavara",Bangalore,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Nagarbhavi,1 BHK,MaentNa,884,2.0,36.0,6/14/22,2.0,10000.0,1350.0,1 out of 1,Super Area,Rampura,Bangalore,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1194,2.0,46.0,6/4/22,1.0,7500.0,600.0,3 out of 4,Super Area,"Mallathahalli, Outer Ring Road",Bangalore,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,19-Dec,Hoodi,2 BHK,Caycend,1026,1.0,60.87,7/7/22,3.0,55000.0,2150.0,3 out of 6,Super Area,Basavanagudi,Bangalore,Semi-Furnished,Bachelors,3.0,Contact Agent
Plot  Area,Ready To Move,Shivaji Nagar,7 Bedroom,,1400,3.0,200.0,6/27/22,2.0,11000.0,1080.0,3 out of 5,Super Area,Hosakerehalli,Bangalore,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Kaikondrahalli,2 BHK,,1115,2.0,50.0,6/23/22,3.0,50000.0,1450.0,3 out of 4,Super Area,Old Airport Road,Bangalore,Semi-Furnished,Bachelors/Family,3.0,Contact Agent
Plot  Area,Ready To Move,Hebbal Kempapura,2 Bedroom,,1200,1.0,125.0,5/23/22,2.0,13500.0,700.0,2 out of 3,Super Area,Anantapura,Bangalore,Unfurnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,2690,3.0,191.0,6/3/22,2.0,16500.0,1200.0,2 out of 4,Super Area,Bannerghatta Main Road,Bangalore,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Mayne A,975,1.0,58.0,7/1/22,3.0,120000.0,2110.0,3 out of 4,Carpet Area,"Richmond Town, Richmond Town",Bangalore,Unfurnished,Bachelors,3.0,Contact Agent
Plot  Area,Ready To Move,Hosa Road,3 Bedroom,,675,2.0,72.5,7/4/22,1.0,7000.0,500.0,2 out of 4,Super Area,Bilekahalli,Bangalore,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Chamrajpet,4 BHK,,1900,1.0,170.0,7/4/22,2.0,10000.0,850.0,2 out of 3,Super Area,"Jyothi Nagar, Dooravani Nagar",Bangalore,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Plot  Area,17-Dec,Banashankari,3 Bedroom,,600,1.0,100.0,5/10/22,1.0,7000.0,400.0,2 out of 3,Super Area,"Bikasipura, kanakapura Road",Bangalore,Unfurnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,,1101,2.0,65.5,6/4/22,1.0,18000.0,800.0,Ground out of 2,Super Area,Gottigere,Bangalore,Furnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Maana E,1700,3.0,135.0,6/8/22,1.0,11000.0,600.0,2 out of 4,Super Area,Kudlu,Bangalore,Semi-Furnished,Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Whitefield,4 BHK,PrOakSi,3606,2.0,312.0,5/27/22,1.0,9000.0,450.0,2 out of 3,Super Area,Nandini Layout,Bangalore,Unfurnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,ACersd ,1258,2.0,115.0,7/6/22,3.0,60000.0,2080.0,2 out of 5,Carpet Area,Frazer Town,Bangalore,Semi-Furnished,Family,3.0,Contact Owner
Carpet  Area,Ready To Move,Kanakpura Road,3 BHK,Advash ,1560,,92.0,6/8/22,3.0,3500000.0,2500.0,4 out of 4,Carpet Area,Marathahalli,Bangalore,Semi-Furnished,Bachelors,3.0,Contact Agent
Super built-up  Area,Ready To Move,Old Madras Road,4 BHK,Brica E,3630,1.0,195.0,5/10/22,2.0,12500.0,650.0,3 out of 4,Super Area,Banashankari,Bangalore,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Built-up  Area,Ready To Move,JP Nagar,3 BHK,Adace P,2000,2.0,250.0,6/4/22,2.0,16000.0,1100.0,2 out of 4,Super Area,Padmanabha Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,19-Jun,Hebbal,4 BHK,Raard B,2790,3.0,198.0,6/16/22,2.0,30000.0,1025.0,2 out of 4,Carpet Area,Indira Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2.0,Contact Agent
Super built-up  Area,20-Jan,Badavala Nagar,3 BHK,DNncasa,1494,2.0,94.55,6/6/22,2.0,17000.0,1100.0,1 out of 4,Carpet Area,Bannerghatta Main Road,Bangalore,Semi-Furnished,Bachelors,2.0,Contact Agent
Super built-up  Area,18-Oct,Hennur Road,3 BHK,Puachal,1482,1.0,87.0,5/19/22,1.0,8000.0,350.0,2 out of 3,Super Area,Banaswadi,Bangalore,Unfurnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Rustam Bagh Layout,2 BHK,Inuseda,800,3.0,50.0,7/5/22,2.0,16500.0,1050.0,Ground out of 2,Super Area,Vidyaranyapura,Bangalore,Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,,1185,2.0,47.39,6/27/22,2.0,13000.0,600.0,2 out of 3,Super Area,"Banashankari Stage 3, Banashankari",Bangalore,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,RatosAr,1100,2.0,71.5,7/6/22,2.0,12000.0,800.0,1 out of 1,Super Area,"Horamavu Agara, Hormavu",Bangalore,Semi-Furnished,Family,2.0,Contact Owner
Built-up  Area,Ready To Move,NRI Layout,2 Bedroom,,1300,0.0,120.0,5/19/22,2.0,17000.0,700.0,2 out of 5,Super Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,4th Block Koramangala,2 BHK,EvestPi,1225,2.0,150.0,5/19/22,3.0,15000.0,750.0,1 out of 2,Super Area,"Hmt Layout Block 4, Vidyaranyapura",Bangalore,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,,1758,2.0,65.0,6/18/22,3.0,35000.0,1600.0,20 out of 25,Super Area,Hennur Main Road,Bangalore,Semi-Furnished,Bachelors/Family,3.0,Contact Owner
